ID,Final_Score,Overall(featured)_Score,TF-IDF_Score,Years_of_Experience,Education_Level,Technical_Score,Managerial_Score,Spell_Check_Ratio,Section_Score,Brevity_Score,Skill_Count,Extracted_Skills
19,0.5617559869438836,0.6921646909827761,0.2574690108531346,0,Bachelor,1.22,0.05407142857142856,0.8794326241134752,0.5,0.5,26,"['BERT', 'Deep Learning', 'Machine Learning', 'TensorFlow', 'communication', 'Algorithm Optimization', 'BACKGROUND Larsen & Toubro Machine Learning Engineer', 'BERT', 'Chennai', 'Computer Vision', 'Data Wrangling', 'Hadoop', 'HuggingFace', 'ML Engineer', 'Machine Learning', 'Material Test Report', 'OCR', 'OnDevice Machine Learning', 'Optimization', 'PROFILE', 'SME', 'SOFTWARE', 'Scikit Learn', 'Software Engineering', 'Tensoflow', 'Tensorflow']"
36,0.5310617523808168,0.6812555309734514,0.1806096023313363,1,Postgraduate,0.81,0.42625,0.8938053097345133,0.9,0.5,18,"['Deep Learning', 'Git', 'Machine Learning', 'Neural Networks', 'TensorFlow', 'ANN', 'CNN', 'DNN', 'Education B.Tech & M.Tech(Integrated', 'Image', 'Keras', 'Linear Regression', 'Logistic Regression', 'Neural Networks', 'RNN', 'SDE', 'Sighania University', 'Skills Data Structures']"
33,0.5167557410894275,0.6512521604938272,0.2029307624791614,1,Bachelor,1.01,0.04475,0.9382716049382716,0.9,0.5,20,"['Deep Learning', 'Machine Learning', 'NLP', 'PyTorch', 'Python', 'Transformers', 'BACKGROUND General Electric', 'GE', 'Healthcare Data Scientist, Feb', 'IBM Watson', 'JU University', 'Kottam', 'Machine', 'Machine Learning', 'NLP', 'NLTK', 'OCR', 'Pytorch', 'RNN', 'Tata Metaliks Ltd.']"
17,0.48592537555794413,0.5820394660894661,0.26165916431772634,0,Bachelor,0.9000000000000001,-0.014961038961038958,0.9652777777777778,0.8,0.5,18,"['C++', 'Flask', 'Git', 'Machine Learning', 'Neural Networks', 'PyTorch', 'Python', 'AWS', 'CNN', 'Data Analytics', 'Git, Python', 'Image Processing', 'MUMBAI', 'NASIK JUNIOR MACHINE LEARNING ENGINEER', 'Neural Networks', 'PROFILE', 'PROJECTS Music', 'accuracyJONATHAN HILL SKILLS Data']"
18,0.4718043245668253,0.5986305732484076,0.17587641097646664,1,Bachelor,1.01,0.03666666666666667,0.9363057324840764,0.4,0.5,20,"['Deep Learning', 'Java', 'Machine Learning', 'Neural Networks', 'Python', 'TensorFlow', 'programming', 'Capstone', 'Java, ReactJS', 'KTM College', 'Machine', 'Machine Learning', 'Neural', 'Neural Networks', 'Pandas', 'Pune', 'SPP University', 'Scikit Learn', 'Seaborn', 'TensorFlow']"
28,0.46344661032476325,0.5805690823774765,0.19016084220176566,0,Bachelor,0.94,-0.00107142857142857,0.948905109489051,0.6,0.5,19,"['Deep Learning', 'Docker', 'Java', 'JavaScript', 'Machine Learning', 'Neural Networks', 'Python', 'TensorFlow', 'web development', 'ASI Technologies Intern', 'B.Tech', 'BMI', 'CSS', 'Front End', 'HTML', 'JavaScript', 'Machine Learning Application', 'Neural Networks', 'SGGS College of Engineering and Technology']"
29,0.42157774333665454,0.5088289473684211,0.217991600595866,1,Bachelor,0.6500000000000001,0.057499999999999996,0.9157894736842105,0.9,0.5,11,"['Data Science', 'Deep Learning', 'Machine Learning', 'Python', 'SQL', 'TensorFlow', 'CIT', 'Calicut', 'Eli Scott F R E S H E R Executive Profile', 'Keras', 'Skills Python']"
35,0.4194577579154744,0.5120280859916783,0.2034603257376655,1,Postgraduate,0.7300000000000002,0.13892857142857143,0.883495145631068,0.4,0.5,16,"['Data Science', 'Machine Learning', 'Neural Networks', 'Python', 'TensorFlow', 'programming', 'software development', 'Application Development', 'B.Tech(Instrumentation)', 'CISCO Software Developer', 'Cause Pair Extraction Understanding Neural Networks - Nanyang University PROJECT OTHER QUALIFICATION', 'Jodhpur University', 'ML Applications', 'Object Oriented Programming', 'Scikit Learn', 'Software Engineering']"
14,0.4139178675080175,0.5258893979057593,0.15265096324662025,2,Postgraduate,0.7600000000000002,0.023749999999999993,0.9476439790575917,0.7,0.5,16,"['C++', 'Machine Learning', 'Python', 'project management', 'software development', 'BACKGROUND Eximius Design Pvt ltd company', 'C++, Ruby', 'CDAC Noida', 'DVR College of Engineering & Technology', 'Electronics & Computers', 'GRACE BAILRY MACHINE LEARNING DEVELOPMENT', 'Machine Learning', 'Post Graduation', 'Project Management', 'Software Development', 'Software Development and Deployment Engineer Apr']"
5,0.4091179603491487,0.4821586538461538,0.2386896755228036,1,Bachelor,0.73,0.029375,0.9134615384615384,0.4,0.5,13,"['Deep Learning', 'Machine Learning', 'Python', 'ARMIN FITZGERALD DA T A M A N A G E R PROFESSIONAL PROFILE Expertise', 'AWS', 'Agricultural Produce', 'Cloud-', 'College of Engineering', 'Data Gathering, Machine Learning', 'Data Mining, Python', 'EMPLOYMENT HISTORY Data Sampling', 'Mathematical Modelling', 'the produceBPM Foundation']"
31,0.3786129897859355,0.46134722222222224,0.18556644743459985,0,Bachelor,0.5800000000000001,0.04041666666666667,0.9722222222222222,0.7,0.5,10,"['Machine Learning', 'Python', 'KIMBERLY DAVIS SKILLS Data Analytics', 'NLTK', 'Natural Language Processing', 'PROFILE', 'PROJECTS Price Forecasting', 'Production Analytics', 'SMV INSTITUTE OF TECHNOLOGY', 'Time Series Analysis']"
39,0.3689850035234619,0.48034999999999994,0.1091333450782065,2,Postgraduate,0.6799999999999999,0.14866666666666667,0.9375,0.2,0.5,14,"['Machine Learning', 'NLP', 'data analysis', 'API', 'Amazon', 'Business Analysis', 'Business Management and Statistical Analysis', 'Data Analysis and Statistical Computation 2020', 'ML', 'NICOLE BREWER POST', 'NLP', 'PROFILE Post Graduate', 'Regression Analysis', 'Statistical']"
4,0.3657724169340264,0.4690444444444445,0.12480435274305086,2,Bachelor,0.56,0.10199999999999998,0.9444444444444444,0.7,0.5,8,"['Machine Learning', 'project management', 'software development', 'Business Growth', 'Data Analytics', 'Institute of TechnologyEXECUTIVE SUMMARY Data Engineer', 'Project Management', 'Software Development']"
16,0.3641814405244883,0.43144384831007504,0.20723582235811921,0,Postgraduate,0.5,0.0526389146567718,0.9565217391304348,0.7,0.5,11,"['Data Science', 'Machine Learning', 'Python', 'programming', 'software development', 'AIT', 'Data Visualization, Data Science, Python,', 'Machine', 'PROJECTS Determining Correlation', 'SKILLS Software Development, Client Management, Technical Architecture', 'WSM University']"
40,0.3391267727415187,0.4226640365448505,0.14420649053374454,0,Bachelor,0.54,0.08267857142857143,0.9186046511627907,0.4,0.5,9,"['C++', 'Machine Learning', 'Python', 'BACKGROUND SRD Insitute Developer Engineer', 'Machine Learning Roles', 'NIT', 'National Institute of Technology', 'PROFILE Fresher', 'Prediction Modelling']"
